16:43:06 INFO  : Generating BSP for the domain C:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_fsbl\zynqmp_fsbl_bsp
16:43:06 INFO  : Generating BSP for the domain C:\OCDS\cloude-detection-accelerator\OCDS_platform\psu_cortexa53_0\standalone_psu_cortexa53_0\bsp
16:43:06 INFO  : lopper command to reconfigure BSP :empyro.bat reconfig_bsp -d C:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_pmufw\zynqmp_pmufw_bsp
16:43:06 INFO  : lopper command to reconfigure BSP :empyro.bat reconfig_bsp -d C:\OCDS\cloude-detection-accelerator\OCDS_platform\psu_cortexa53_0\standalone_psu_cortexa53_0\bsp
16:43:06 INFO  : cmd.exe, /C, empyro.bat reconfig_bsp -d C:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_pmufw\zynqmp_pmufw_bsp
16:43:06 INFO  : cmd.exe, /C, empyro.bat reconfig_bsp -d C:\OCDS\cloude-detection-accelerator\OCDS_platform\psu_cortexa53_0\standalone_psu_cortexa53_0\bsp
16:43:06 INFO  : lopper command to reconfigure BSP :empyro.bat reconfig_bsp -d C:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_fsbl\zynqmp_fsbl_bsp
16:43:06 INFO  : cmd.exe, /C, empyro.bat reconfig_bsp -d C:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_fsbl\zynqmp_fsbl_bsp
16:43:06 INFO  : Domain reconfigured successfully
16:43:06 INFO  : Generating BSP for the domain C:\OCDS\cloude-detection-accelerator\OCDS_platform\psu_cortexa53_0\standalone_psu_cortexa53_0\bsp
16:43:06 INFO  : lopper command to build BSP :empyro.bat build_bsp -d C:\OCDS\cloude-detection-accelerator\OCDS_platform\psu_cortexa53_0\standalone_psu_cortexa53_0\bsp
16:43:06 INFO  : cmd.exe, /C, empyro.bat build_bsp -d C:\OCDS\cloude-detection-accelerator\OCDS_platform\psu_cortexa53_0\standalone_psu_cortexa53_0\bsp
16:43:07 INFO  : Domain reconfigured successfully
16:43:07 INFO  : Generating BSP for the domain C:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_pmufw\zynqmp_pmufw_bsp
16:43:07 INFO  : lopper command to build BSP :empyro.bat build_bsp -d C:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_pmufw\zynqmp_pmufw_bsp
16:43:07 INFO  : cmd.exe, /C, empyro.bat build_bsp -d C:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_pmufw\zynqmp_pmufw_bsp
16:43:07 INFO  : Domain reconfigured successfully
16:43:07 INFO  : Generating BSP for the domain C:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_fsbl\zynqmp_fsbl_bsp
16:43:07 INFO  : lopper command to build BSP :empyro.bat build_bsp -d C:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_fsbl\zynqmp_fsbl_bsp
16:43:07 INFO  : cmd.exe, /C, empyro.bat build_bsp -d C:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_fsbl\zynqmp_fsbl_bsp
16:43:24 INFO  : Domain build successfully
16:43:24 INFO  : Domain build successfully
16:43:25 INFO  : Domain build successfully
16:43:25 INFO  : Generating Boot ELFs
16:43:25 INFO  : lopper command to retarget baremetal application :empyro.bat retarget_app -s C:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_fsbl -d C:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_fsbl\zynqmp_fsbl_bsp -b C:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_fsbl\build
16:43:25 INFO  : cmd.exe, /C, empyro.bat retarget_app -s C:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_fsbl -d C:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_fsbl\zynqmp_fsbl_bsp -b C:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_fsbl\build
16:43:25 INFO  : [INFO]: Retargeting app
16:43:25 INFO  : [INFO]: Updating link libraries based on new domain
16:43:25 INFO  : Successfully retargeted Application C:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_fsbl
16:43:25 INFO  : lopper command to build baremetal application :empyro.bat build_app --src_dir C:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_fsbl --build_dir C:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_fsbl\build
16:43:25 INFO  : cmd.exe, /C, empyro.bat build_app --src_dir C:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_fsbl --build_dir C:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_fsbl\build
16:43:34 INFO  : Successfully building the baremetal applicationC:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_fsbl\build
16:43:34 INFO  : lopper command to retarget baremetal application :empyro.bat retarget_app -s C:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_pmufw -d C:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_pmufw\zynqmp_pmufw_bsp -b C:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_pmufw\build
16:43:34 INFO  : cmd.exe, /C, empyro.bat retarget_app -s C:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_pmufw -d C:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_pmufw\zynqmp_pmufw_bsp -b C:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_pmufw\build
16:43:35 INFO  : [INFO]: Retargeting app
16:43:35 INFO  : [INFO]: Updating link libraries based on new domain
16:43:35 INFO  : Successfully retargeted Application C:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_pmufw
16:43:35 INFO  : lopper command to build baremetal application :empyro.bat build_app --src_dir C:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_pmufw --build_dir C:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_pmufw\build
16:43:35 INFO  : cmd.exe, /C, empyro.bat build_app --src_dir C:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_pmufw --build_dir C:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_pmufw\build
16:43:42 INFO  : Successfully building the baremetal applicationC:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_pmufw\build
